file,id1,id2,number of masks,areas median,areas sd,eccentricity median,eccentricity sd,solidity median,solidity sd,perimeter median,perimeter sd,major_length median,major_length sd,minor_length median,minor_length sd,roundness median,roundness sd,R_median median,R_median sd,G_median median,G_median sd,B_median median,B_median sd,R_sd median,R_sd sd,G_sd median,G_sd sd,B_sd median,B_sd sd
OneDrive_3_23-03-2023/NGB100721_1_2_SD_seed_1.png,NGB100721,100721,154,8925.0,2596.4730902172464,0.5080151418402947,0.13604945534004362,0.9749815072297277,0.018178742508881008,367.5340546095176,52.95696694919524,116.6111638602066,16.84157043067278,98.47139887214469,15.7201244553175,0.836493112271347,0.04701312859764032,188.0,15.345051663590867,164.0,13.000444758664601,102.5,16.833765281932976,188.0,15.345051663590867,164.0,13.000444758664601,102.5,16.833765281932976
OneDrive_3_23-03-2023/NGB100592_1_2_SD_seed_1.png,NGB100592,100592,215,6914.0,1797.558297016708,0.5902393028765777,0.16487518387152106,0.9778580024067389,0.027728757045634714,324.5096679918781,44.37853613047916,106.02973939458677,17.716462367243267,84.54456675378447,11.836391909088764,0.83136213077388,0.058927656085180975,127.0,18.39299017601344,91.0,21.38564997558673,51.0,8.423368175640341,127.0,18.39299017601344,91.0,21.38564997558673,51.0,8.423368175640341
OneDrive_3_23-03-2023/NGB100200_1_4_SD_seed_1.png,NGB100200,100200,36,13520.5,1448.61404042529,0.6028644348007308,0.10467623470187311,0.9869764094520966,0.007410736468707239,442.1822868876584,23.656410016394055,147.69006616076456,8.914329160160742,115.24687086393311,9.925472635775128,0.8620204776982697,0.02722566439420661,163.5,13.36116164231609,167.0,8.712972802765334,107.0,12.002571740883774,163.5,13.36116164231609,167.0,8.712972802765334,107.0,12.002571740883774
OneDrive_3_23-03-2023/NGB101227_1_2_SD_seed_1.png,NGB101227,101227,21,20543.0,2783.607027970687,0.5120346866177383,0.09407080992711295,0.9863847739584831,0.0025344645970914316,543.6295090390227,38.30247540138901,179.03770301525225,14.765751178719771,152.30480818846823,11.101249778280721,0.8707882581039055,0.014222563234974832,120.0,12.844438167422298,70.0,12.843908532629692,26.0,4.446201466757124,120.0,12.844438167422298,70.0,12.843908532629692,26.0,4.446201466757124
OneDrive_3_23-03-2023/NGB100025_1_2_SD_seed_1.png,NGB100025,100025,199,7210.0,1625.952716612845,0.5314015918414868,0.13210708163789944,0.9837452982267598,0.025825659799078964,325.94826817189073,33.251444613622176,106.50681919559635,11.246530465003923,89.19507091899193,11.702582097150637,0.8778035619925643,0.04731318701127558,64.0,9.898555550422413,42.0,7.044825578761037,31.0,4.461376322384391,64.0,9.898555550422413,42.0,7.044825578761037,31.0,4.461376322384391
OneDrive_3_23-03-2023/NGB101269_1_2_SD_seed_1.png,NGB101269,101269,135,9427.0,1968.7437551223709,0.5711909863884553,0.12411919708147062,0.9810474831872835,0.018271730954155678,373.0609665440988,38.04094176686424,122.28106420360086,15.103834940934545,100.7043972382781,10.405024830995554,0.860539988608782,0.040012042322141506,173.0,14.459676678856429,152.0,11.63002122482957,97.0,14.030020722774484,173.0,14.459676678856429,152.0,11.63002122482957,97.0,14.030020722774484
OneDrive_3_23-03-2023/NGB101197_0_9_SSD_seed_1.png,NGB101197,101197,35,13310.0,2430.3795259177114,0.4370544541961087,0.07505363988016533,0.9895294725956567,0.0013136977200129036,430.0315292925759,41.95704382293438,138.1038585760286,12.778342527643305,120.53832650998582,12.74034249051129,0.8971521666021494,0.006531714951051839,105.0,7.540151029722177,75.0,7.146513349964756,47.0,4.8878023942154165,105.0,7.540151029722177,75.0,7.146513349964756,47.0,4.8878023942154165
OneDrive_3_23-03-2023/NGB101094_1_2_SD_seed_1.png,NGB101094,101094,118,12437.5,2591.2350518504727,0.577285964856417,0.11702041360055937,0.9846080531373436,0.022280779506213044,425.40411229460636,45.26806020930242,140.41048582363896,15.220492387972728,114.27024603630699,14.668753173214276,0.8696828819199283,0.038066075301380786,206.0,9.17286370054798,174.0,9.648657720419092,127.0,11.306393337726357,206.0,9.17286370054798,174.0,9.648657720419092,127.0,11.306393337726357
OneDrive_3_23-03-2023/NGB101197_0_12_SSD_seed_1.png,NGB101197,101197,22,14289.0,1752.744179591223,0.5013579132545741,0.09454011519388915,0.9883297694614531,0.0017768143315099474,449.71782079359116,28.051769248002792,145.25502803626856,9.407018878943811,125.5372888556633,9.155348724959646,0.8856172453764348,0.009660423992948778,112.0,8.696441753588287,88.0,8.865850539295367,56.5,3.6925349083775467,112.0,8.696441753588287,88.0,8.865850539295367,56.5,3.6925349083775467
OneDrive_3_23-03-2023/NGB101241_1_2_SD_seed_1.png,NGB101241,101241,119,11993.0,2920.4227353071346,0.4361298744194193,0.13189579628352224,0.9868438363373241,0.03885160616565399,411.747258045114,54.566821412330796,132.29331466447323,18.03628528918111,118.1976717552848,15.418964603372865,0.8869874979117723,0.07066088782549051,211.0,15.678261633900195,174.0,15.256311199773503,124.0,15.261153180958598,211.0,15.678261633900195,174.0,15.256311199773503,124.0,15.261153180958598
OneDrive_3_23-03-2023/NGB101194_1_2_SD_seed_1.png,NGB101194,101194,148,9311.5,1909.216332561536,0.5397546521703166,0.1369142570950971,0.9774831767754051,0.014998576207114188,379.2081528017131,38.68357531991436,121.33375985878979,13.285836947799723,101.11718931314408,12.056526175139052,0.8387846795872769,0.037821640704494,158.0,15.836605128556076,157.0,11.573920016289312,94.0,14.873306494313109,158.0,15.836605128556076,157.0,11.573920016289312,94.0,14.873306494313109
OneDrive_3_23-03-2023/NGB100011_1_2_SD_seed_1.png,NGB100011,100011,168,8358.0,1855.2486837445804,0.41279749265667753,0.12971318492593306,0.9872760850299601,0.02479641840212742,343.3122292025696,37.89992978050404,108.69524101690513,13.122066502537745,98.3732690262474,11.323871776579416,0.9007640365303948,0.041932680978523255,193.0,10.413877177520423,154.5,10.664772747865069,104.0,13.058930999698072,193.0,10.413877177520423,154.5,10.664772747865069,104.0,13.058930999698072
